entity_type,entity_id,entity_slug,full_slug
artist,1294,genes1s-kinoti-august-iv,genes1s-kinoti-august-iv
artist,1295,genes1s-brandy-maina,genes1s-brandy-maina
artist,1296,genes1s-lilmaina,genes1s-lilmaina
artist,1297,genes1s-ybw-smith-soundkraft,genes1s-ybw-smith-soundkraft
artist,1298,mordecai-dex-skoko,mordecai-dex-skoko
artist,1299,bensoul-mordecai-dex-okello-max,bensoul-mordecai-dex-okello-max
artist,13,ajay,ajay
artist,130,dyana-cods,dyana-cods
artist,1300,jua-cali-bussa-j-mbithi,jua-cali-bussa-j-mbithi
artist,1301,jua-cali-pilipili,jua-cali-pilipili
artist,1302,jua-cali-mahatma-nonini,jua-cali-mahatma-nonini
artist,1303,jua-cali-odi-wa-muranga-swat,jua-cali-odi-wa-muranga-swat
artist,1304,breeder-lw-bien,breeder-lw-bien
artist,1305,breeder-lw-trio-mio-uncojingjong-maandy,breeder-lw-trio-mio-uncojingjong-maandy
artist,1306,breeder-lw-ndovu-kuu-trio-mio,breeder-lw-ndovu-kuu-trio-mio
artist,1307,moroko-kalahari-kitu-sewer-abbas-doobeez-kswiss-gdash,moroko-kalahari-kitu-sewer-abbas-doobeez-kswiss-gdash
artist,1308,djungle-kitu-sewer,djungle-kitu-sewer
artist,1309,djungle-kitu-sewer-inkalamu,djungle-kitu-sewer-inkalamu
artist,131,dynaso-wegoso,dynaso-wegoso
artist,1310,djungle-kitu-sewer-virusi-mbaya,djungle-kitu-sewer-virusi-mbaya
artist,1311,dizasta-vina-kaa-la-moto,dizasta-vina-kaa-la-moto
artist,1312,kaa-la-moto-boutross,kaa-la-moto-boutross
artist,1313,kaa-la-moto-simba-zee-black-mtengwa-tricks-tylo-mi-chibo-dee-survivor-musa-kiama-young-njita-ohms-law-montana-emkay64-reagan-dandy,kaa-la-moto-simba-zee-black-mtengwa-tricks-tylo-mi-chibo-dee-survivor-musa-kiama-young-njita-ohms-law-montana-emkay64-reagan-dandy
artist,1314,kaa-la-moto-kama-k-shaka,kaa-la-moto-kama-k-shaka
artist,1315,kaa-la-moto-songa,kaa-la-moto-songa
artist,1316,kaa-la-moto-okello-max,kaa-la-moto-okello-max
artist,1317,kaa-la-moto-ssaru-boutross,kaa-la-moto-ssaru-boutross
artist,1318,kaa-la-moto-jua-cali-nikki-mbishi,kaa-la-moto-jua-cali-nikki-mbishi
artist,1319,kaa-la-moto-double-gang,kaa-la-moto-double-gang
artist,132,e-sir,e-sir
artist,1320,tangaza-maya-amolo-joshua-baraka,tangaza-maya-amolo-joshua-baraka
artist,1321,maya-amolo-kalibwani,maya-amolo-kalibwani
artist,1322,maya-amolo-aylu00d8,maya-amolo-aylu00d8
artist,1323,sentu00e9-maya-amolo,sentu00e9-maya-amolo
artist,1324,maya-amolo-ywaya-tajiri,maya-amolo-ywaya-tajiri
artist,1325,xavier-omu00e4r-xenia-manasseh,xavier-omu00e4r-xenia-manasseh
artist,1326,xenia-manasseh-karun,xenia-manasseh-karun
artist,1327,bensoul-xenia-manasseh,bensoul-xenia-manasseh
artist,1328,ukweli-xenia-manasseh,ukweli-xenia-manasseh
artist,1329,xenia-manasseh-colors,xenia-manasseh-colors
artist,133,eastboyrap,eastboyrap
artist,1330,afrobeats-central-oladapo-xenia-manasseh,afrobeats-central-oladapo-xenia-manasseh
artist,1331,masauti-khaligraph-jones,masauti-khaligraph-jones
artist,1332,ssaru-tipsy-gee-masauti,ssaru-tipsy-gee-masauti
artist,1333,masauti-nadia-mukami,masauti-nadia-mukami
artist,1334,masauti-arrow-bwoy,masauti-arrow-bwoy
artist,1335,masauti-jay-melody,masauti-jay-melody
artist,1336,exray-taniua-scar-mkadinali,exray-taniua-scar-mkadinali
artist,1337,exray-taniua-rekless-kristoff-zzero-sufuri-scar-mkadinali,exray-taniua-rekless-kristoff-zzero-sufuri-scar-mkadinali
artist,1338,exray-taniua-ajay-buruklynboyz-lilmaina,exray-taniua-ajay-buruklynboyz-lilmaina
artist,1339,exray-taniua-ndovu-kuu-mejja,exray-taniua-ndovu-kuu-mejja
artist,134,ebola-mkuu,ebola-mkuu
artist,1340,exray-taniua-omollo-odi-wa-muranga,exray-taniua-omollo-odi-wa-muranga
artist,1341,exray-taniua-karole-kasita,exray-taniua-karole-kasita
artist,1342,exray-taniua-trio-mio-ssaru,exray-taniua-trio-mio-ssaru
artist,1343,joefes-fathermoh-exray-taniua,joefes-fathermoh-exray-taniua
artist,1344,ally-fresh-dj-mura-k-e-ayrosh,ally-fresh-dj-mura-k-e-ayrosh
artist,1345,dj-mura-k-e-ywaya-tajiri,dj-mura-k-e-ywaya-tajiri
artist,1346,dj-mura-k-e-njerae,dj-mura-k-e-njerae
artist,1347,ally-fresh-dj-mura-k-e-njerae,ally-fresh-dj-mura-k-e-njerae
artist,1348,dyana-cods-femi-one,dyana-cods-femi-one
